label,label,nuclei_area,nuclei_i,nuclei_j,nuclei_bounds,foci_count,foci_area,nucleus_number_neighbors_1,nucleus_percent_touching_1,nucleus_first_neighbor_distance,nucleus_second_neighbor_distance,nucleus_angle_between_neighbors
1,1,106.0,1.830188679245283,127.70754716981132,"(0, 116, 5, 140)",0,0,0,0.0,45.80663203337855,96.91540242271414,44.837325662691136
2,2,557.0,7.649910233393178,232.2226211849192,"(0, 213, 20, 251)",0,0,0,0.0,79.72849914115885,104.67697863117417,64.96106875723079
3,3,1348.0,22.733679525222552,1236.7069732937684,"(0, 1218, 49, 1257)",2,31,0,0.0,79.17191208748997,124.9742783882091,106.04047150078142
4,4,620.0,6.880645161290323,1393.291935483871,"(0, 1367, 18, 1415)",0,0,0,0.0,108.86374651810738,142.94757934787356,21.598137473591454
5,5,1526.0,47.22935779816514,121.61140235910878,"(22, 102, 73, 142)",1,13,0,0.0,45.80663203337855,72.07515719261075,108.53975172413227
6,6,2042.0,45.83839373163565,1160.9813907933399,"(22, 1129, 70, 1191)",2,14,0,0.0,79.17191208748997,131.8673581157634,148.37310654268657
7,7,1359.0,51.03679175864606,1529.2487122884475,"(30, 1510, 73, 1551)",1,16,0,0.0,57.852787853631874,142.94757934787356,43.84078829751391
8,8,2032.0,60.84842519685039,50.83464566929134,"(33, 28, 90, 74)",0,0,0,0.0,60.9746934836332,72.07515719261075,143.87048729795347
9,9,1493.0,65.09778968519758,322.1560616208975,"(38, 304, 92, 341)",0,0,0,0.0,84.5681939681891,106.71589648295472,152.84696317823256
10,10,3150.0,77.89777777777778,194.51492063492063,"(46, 158, 105, 238)",2,10,0,0.0,79.09156061829565,79.72849914115885,95.4109510570895
11,11,1463.0,76.25974025974025,1477.183868762816,"(56, 1454, 96, 1501)",0,0,0,0.0,57.852787853631874,104.92565880716036,156.95720030886991
12,12,1553.0,83.60656793303284,564.6381197681906,"(58, 546, 110, 585)",1,5,0,0.0,75.43739965953512,97.75216077595948,127.29007648885404
13,13,810.0,105.45802469135802,9.266666666666667,"(80, 0, 128, 24)",0,0,0,0.0,60.9746934836332,126.13878253465724,79.65422849274553
14,14,1351.0,104.64100666173205,637.0836417468541,"(85, 612, 127, 662)",3,28,0,0.0,65.70943824836156,75.43739965953512,90.11460645275251
15,15,1652.0,107.71549636803874,460.6277239709443,"(87, 429, 127, 491)",0,0,0,0.0,42.52110755274589,100.54435139442391,109.15856384172955
16,16,1661.0,127.5364238410596,1304.7874774232391,"(106, 1275, 147, 1333)",0,0,0,0.0,103.14416854995721,107.07471106537588,71.14883825526672
17,17,1379.0,138.13052936910805,364.79405366207396,"(114, 345, 162, 383)",0,0,0,0.0,84.5681939681891,95.09275599775812,75.76914799471038
18,18,1318.0,144.74506828528072,1073.7663125948407,"(120, 1055, 168, 1095)",1,25,0,0.0,131.8673581157634,181.90388463086526,86.00318977724962
19,19,1430.0,141.77832167832167,486.079020979021,"(126, 459, 157, 512)",1,5,0,0.0,42.52110755274589,87.98465901467469,166.93911411166525
20,20,1692.0,155.31678486997635,1408.1956264775413,"(134, 1383, 179, 1434)",1,15,0,0.0,42.501648600296065,97.06854783225631,21.51028124033672
21,21,1990.0,167.78090452261307,618.8879396984925,"(138, 595, 196, 646)",1,19,1,0.09345794392523364,44.81154813279691,65.70943824836156,155.5382211137128
22,22,1814.0,164.4156560088203,273.40628445424477,"(140, 250, 191, 300)",2,8,0,0.0,95.09275599775812,110.63715173880466,47.809675956563794
23,23,1479.0,178.23732251521298,818.7505070993915,"(149, 800, 204, 837)",7,74,0,0.0,63.432966808519964,112.75387034256383,39.563469485131954
24,24,1414.0,173.478783592645,115.4936350777935,"(151, 95, 198, 136)",0,0,0,0.0,83.02765107426802,124.01649988482463,103.42896440598444
25,25,1018.0,179.46463654223967,1443.1709233791748,"(159, 1426, 201, 1459)",0,0,0,0.0,42.501648600296065,59.60053779263324,143.33216576263277
26,26,1041.0,201.83669548511048,589.7627281460135,"(185, 567, 219, 615)",1,7,1,0.125,44.81154813279691,71.32083394132337,147.24408653795112
27,27,1457.0,206.40356897735072,707.8689087165409,"(186, 678, 227, 737)",1,13,1,0.1326530612244898,45.73806147489369,65.32365944235752,71.44355377114854
28,28,1937.0,227.21011874032007,778.4341765616933,"(199, 752, 254, 804)",0,0,0,0.0,63.432966808519964,73.56880819407792,113.0341168633458
29,29,1437.0,217.7919276270007,663.571329157968,"(200, 638, 236, 692)",0,0,1,0.13812154696132597,45.73806147489369,66.76449263008661,68.05633625279398
30,30,1955.0,230.45217391304348,1311.6480818414323,"(204, 1287, 258, 1338)",1,6,0,0.0,94.75369867860093,96.62803842786693,109.13111100671358
31,31,1027.0,219.67867575462512,1521.207400194742,"(204, 1503, 240, 1540)",0,0,0,0.0,61.11433363347655,77.02528912806953,133.70475059468237
32,32,3024.0,239.79728835978835,165.448082010582,"(205, 135, 270, 203)",0,0,0,0.0,83.02765107426802,114.69475772236501,155.49295230085207
33,33,1457.0,222.33905284831846,521.452299245024,"(207, 491, 243, 550)",1,4,1,0.16666666666666666,35.22236140742075,67.55518128219687,25.66916198943823
34,34,1800.0,235.91555555555556,1462.2894444444444,"(212, 1436, 258, 1491)",0,0,0,0.0,59.60053779263324,61.11433363347655,93.30257558938364
35,35,2225.0,244.5532584269663,457.6539325842697,"(215, 431, 275, 486)",0,0,1,0.13333333333333333,38.923852113641146,67.55518128219687,23.077822659299063
36,36,2074.0,255.25120540019287,1218.2565091610415,"(222, 1197, 291, 1240)",3,42,0,0.0,96.62803842786693,141.12755578304262,97.97334697636326
37,37,1181.0,247.18712955122777,496.4885690093141,"(225, 479, 273, 512)",3,27,2,0.379746835443038,35.22236140742075,38.923852113641146,131.25301535126272
38,38,1475.0,259.22033898305085,1587.3084745762712,"(238, 1565, 281, 1610)",2,15,0,0.0,77.02528912806953,127.17260249639108,20.32855818136997
39,39,1670.0,271.5568862275449,703.1544910179641,"(252, 674, 292, 734)",0,0,0,0.0,65.32365944235752,66.76449263008661,40.50010997605747
40,40,2166.0,287.00507848568793,352.0023084025854,"(266, 322, 311, 383)",2,18,0,0.0,112.16027981176045,113.86141892022044,101.29776295748553
41,41,1336.0,290.99101796407183,818.9491017964071,"(276, 789, 307, 847)",2,18,0,0.0,41.785612881576384,50.06915562074252,35.09546797608483
42,42,1753.0,309.00456360524817,1364.6366229321163,"(281, 1344, 337, 1385)",1,24,0,0.0,30.9237898063798,94.75369867860093,150.2208765938269
43,43,1621.0,316.99629858112274,756.0074028377545,"(289, 729, 342, 780)",1,14,0,0.0,57.23364991908886,68.10236477372294,37.70472106054962
44,44,1451.0,317.9503790489318,652.9786354238456,"(303, 621, 334, 685)",1,26,0,0.0,67.22451051758739,68.33719822153897,157.9494453778202
45,45,1383.0,334.586406362979,1094.469269703543,"(313, 1070, 354, 1117)",1,11,0,0.0,130.73079567415422,138.8502350556234,47.46920618366292
46,46,1300.0,336.57307692307694,839.6661538461539,"(314, 818, 360, 861)",0,0,2,0.5085714285714286,28.798442982351954,30.205119466389935,125.55730931126122
47,47,763.0,332.0563564875491,811.2241153342071,"(315, 798, 355, 827)",0,0,1,0.3007518796992481,28.798442982351954,41.785612881576384,88.36980559910984
48,48,66.0,322.6666666666667,1392.378787878788,"(318, 1388, 328, 1397)",0,0,0,0.0,30.9237898063798,89.5994047301578,169.93966161893434
49,49,3007.0,351.7811772530762,190.23711340206185,"(327, 150, 377, 229)",2,38,0,0.0,114.69475772236501,133.9618759638454,152.18639835448877
50,50,1614.0,347.6016109045849,1478.4386617100372,"(331, 1448, 366, 1511)",6,79,0,0.0,89.5994047301578,110.17398745606002,69.79365571794612
51,51,1034.0,363.59671179883946,853.1595744680851,"(342, 831, 383, 871)",0,0,1,0.3141025641025641,30.205119466389935,52.472628540331314,26.518728024809988
52,52,1967.0,372.51703101169295,521.0,"(344, 493, 400, 547)",1,27,0,0.0,98.87123190090263,103.55348809666893,101.22326602687849
53,53,1888.0,378.78072033898303,624.363877118644,"(358, 597, 399, 655)",0,0,0,0.0,55.45931313921106,67.22451051758739,155.3014679872229
54,54,1401.0,388.91434689507497,726.2112776588151,"(365, 703, 412, 753)",0,0,0,0.0,77.84609655574899,101.97501959393526,68.40592366863982
55,55,1788.0,397.2539149888143,372.62080536912754,"(373, 351, 424, 396)",0,0,0,0.0,112.16027981176045,136.8691884886869,136.41755515314617
56,56,1752.0,395.35730593607303,1235.2054794520548,"(377, 1206, 414, 1267)",1,19,0,0.0,99.60358335179771,141.12755578304262,140.77342816398783
57,57,1744.0,415.79128440366975,992.0177752293578,"(389, 971, 442, 1017)",2,36,0,0.0,69.96125618372879,106.63601747419479,89.04418593963817
58,58,1559.0,434.2379730596536,623.8858242463117,"(410, 598, 457, 650)",0,0,0,0.0,55.45931313921106,99.88127159351016,144.0319399344566
59,59,1852.0,436.3201943844492,1413.1139308855293,"(410, 1392, 464, 1434)",1,16,0,0.0,89.25071338733247,109.76026212187607,28.96632824444956
60,60,1318.0,444.4742033383915,1796.902124430956,"(422, 1779, 467, 1816)",0,0,0,0.0,124.17704660821614,241.83800306195894,17.765948449535937
61,61,1415.0,447.2939929328622,929.5505300353357,"(424, 911, 471, 949)",0,0,0,0.0,69.96125618372879,91.80215435998244,166.8584339566672
62,62,1424.0,468.1558988764045,495.92556179775283,"(442, 480, 496, 512)",0,0,0,0.0,82.82679260254956,98.87123190090263,109.38874942539071
63,63,1670.0,464.3922155688623,1307.0041916167665,"(442, 1283, 490, 1331)",0,0,0,0.0,53.58692622961339,99.60358335179771,175.07175893892793
64,64,2220.0,468.91261261261263,840.3301801801802,"(444, 813, 494, 873)",0,0,0,0.0,91.20174686666164,91.80215435998244,116.05092116323645
65,65,1545.0,461.12750809061487,1555.6381877022654,"(445, 1526, 480, 1589)",2,39,0,0.0,129.26088880955731,137.28764017681186,137.31312591386543
66,66,1603.0,473.07610729881475,1084.4697442295696,"(452, 1063, 502, 1113)",1,14,0,0.0,60.14754070323585,88.3771865811036,70.77629548292641
67,67,1265.0,480.9754940711463,154.81660079051383,"(457, 139, 505, 172)",0,0,0,0.0,80.94070175405123,104.00553429612246,66.97692161722236
68,68,1654.0,488.2285368802902,258.5689238210399,"(463, 238, 512, 282)",0,0,1,0.09782608695652174,46.15464332891946,63.48029498300382,75.49290219477012
69,69,1140.0,490.41754385964913,1681.536842105263,"(471, 1664, 512, 1703)",3,37,0,0.0,124.17704660821614,129.26088880955731,145.18869623448967
70,70,1331.0,498.0773854244929,1348.679939894816,"(481, 1318, 512, 1375)",3,42,0,0.0,53.58692622961339,89.25071338733247,97.26769374703777
71,71,1363.0,512.0557593543654,298.0975788701394,"(494, 270, 530, 322)",0,0,1,0.10869565217391304,46.15464332891946,68.49900895622682,63.790565393851914
72,72,1818.0,514.5676567656766,564.5275027502751,"(496, 535, 537, 598)",0,0,0,0.0,55.967819427640976,82.82679260254956,144.7204474108406
73,73,1128.0,511.7925531914894,1038.4397163120568,"(497, 1015, 529, 1060)",0,0,0,0.0,60.14754070323585,71.24892787504903,172.4536821754002
74,74,1730.0,540.6173410404624,1219.6971098265897,"(519, 1195, 562, 1247)",0,0,0,0.0,104.86655316605464,115.89994082775804,147.12920472207884
75,75,2112.0,551.1325757575758,399.7859848484849,"(526, 372, 577, 430)",0,0,1,0.1111111111111111,51.00556123582875,104.86282026086313,83.64345620242314
76,76,644.0,549.0714285714286,240.4611801242236,"(530, 224, 567, 254)",1,11,0,0.0,59.856284000045314,63.48029498300382,114.66415804337589
77,77,1651.0,555.6692913385826,1115.916414294367,"(531, 1090, 578, 1140)",2,32,0,0.0,88.3771865811036,89.03823269062964,39.6322629180476
78,78,1826.0,557.9764512595838,820.6987951807229,"(535, 788, 578, 848)",12,214,1,0.1291866028708134,54.48808178793533,91.20174686666164,148.05873425131765
79,79,1856.0,566.9428879310345,584.2564655172414,"(538, 563, 596, 608)",1,11,0,0.0,55.967819427640976,74.06644365437542,88.41113181964694
80,80,638.0,557.4952978056426,181.20062695924764,"(543, 167, 574, 196)",1,31,0,0.0,59.856284000045314,80.94070175405123,100.93381695680745
81,81,2249.0,576.1418408181414,712.2227656736327,"(546, 682, 605, 740)",1,13,0,0.0,73.37701055550986,101.92291772724235,89.67044777438306
82,82,1305.0,564.4183908045977,990.4091954022989,"(547, 964, 584, 1021)",0,0,0,0.0,71.24892787504903,72.56847665958597,161.31193784319166
83,83,2248.0,586.7508896797153,436.2949288256228,"(559, 408, 612, 467)",0,0,1,0.10909090909090909,51.00556123582875,78.07449073593332,138.9153227846725
84,84,943.0,591.1198303287381,514.2470837751856,"(566, 494, 611, 529)",0,0,0,0.0,66.06353989785852,74.06644365437542,69.47171236174218
85,85,2110.0,596.9255924170616,782.5947867298578,"(567, 758, 625, 808)",16,223,1,0.1320754716981132,54.48808178793533,73.37701055550986,117.91755720878352
86,86,1791.0,599.5181462869905,926.893914014517,"(575, 903, 624, 952)",0,0,0,0.0,72.56847665958597,87.28040900844611,80.25685004269194
87,87,1455.0,629.9147766323024,281.62817869415807,"(607, 260, 653, 302)",0,0,1,0.09770114942528736,50.731351278903105,53.833270152769,130.77611126374907
88,88,1577.0,633.8376664552949,335.3183259353202,"(611, 314, 657, 359)",0,0,0,0.0,53.833270152769,77.48121656776807,151.4734496128537
89,89,2251.0,642.037316748112,556.3398489560195,"(617, 531, 672, 591)",0,0,0,0.0,58.22699397562443,66.06353989785852,143.04622473770226
90,90,1934.0,665.8154084798346,245.78386763185108,"(635, 225, 696, 265)",0,0,1,0.08374384236453201,50.731351278903105,83.2894597617705,91.7742910247563
91,91,2672.0,667.6639221556886,981.4285179640718,"(644, 950, 698, 1018)",9,128,0,0.0,87.28040900844611,103.63538156063582,43.64031233284817
92,92,1432.0,674.0551675977654,683.9162011173185,"(653, 661, 695, 707)",0,0,0,0.0,92.05678670924289,99.19436163787957,54.39910855058613
93,93,1569.0,675.7023581899299,400.5156150414277,"(657, 375, 698, 431)",1,17,1,0.164021164021164,40.96638414861655,77.48121656776807,108.20270058191326
94,94,997.0,677.9237713139419,496.4643931795386,"(660, 480, 698, 512)",0,0,0,0.0,66.39321258654132,69.80621624000757,50.5434648267025
95,95,1142.0,700.2031523642733,559.007880910683,"(680, 539, 719, 580)",0,0,0,0.0,58.22699397562443,66.39321258654132,67.76668820973647
96,96,1376.0,715.3633720930233,390.25654069767444,"(693, 371, 741, 414)",1,10,1,0.17777777777777778,40.96638414861655,79.73319342361094,159.0005107304153
97,97,1933.0,726.4604242110709,302.87428867046043,"(702, 272, 749, 332)",0,0,0,0.0,72.83306041296665,83.2894597617705,153.31734619195387
98,98,2215.0,733.3620767494357,1167.2948081264108,"(702, 1146, 768, 1189)",0,0,0,0.0,106.2673640117131,116.9745537607473,101.72569148184112
99,99,2547.0,743.0212014134275,875.5119748723989,"(712, 852, 777, 900)",1,17,0,0.0,93.68365867506746,129.98859041323223,167.17884725904707
100,100,1623.0,750.1515711645102,735.7215033887862,"(730, 712, 773, 760)",0,0,0,0.0,60.63062821756734,87.49105011940718,102.70225135314871
101,101,2236.0,767.1766547406082,649.7415026833631,"(741, 623, 792, 682)",2,18,0,0.0,56.50617318324587,87.64938101365964,71.0258464983035
102,102,2025.0,767.6345679012346,455.6592592592593,"(743, 430, 794, 482)",1,20,0,0.0,62.491115986467136,83.7245095922708,64.18017432605326
103,103,2038.0,779.0382728164867,789.0284592737978,"(752, 766, 807, 815)",2,13,0,0.0,60.63062821756734,81.44438605256751,82.94519631633119
104,104,1881.0,789.377990430622,1257.5996810207337,"(760, 1237, 819, 1282)",0,0,0,0.0,106.2673640117131,173.28658602496387,41.372248406856386
105,105,1796.0,792.869153674833,1048.1113585746102,"(770, 1024, 817, 1074)",9,113,1,0.1736842105263158,46.15509489845706,133.21331334094103,59.75996778011535
106,106,1514.0,794.5845442536328,399.278071334214,"(772, 377, 820, 425)",0,0,0,0.0,62.491115986467136,75.62941562607978,155.72356643565175
107,107,1662.0,796.2623345367027,323.6672683513839,"(773, 300, 819, 348)",1,4,0,0.0,72.00353918425893,72.83306041296665,119.20096652398867
108,108,1721.0,816.0261475886113,678.1435212085996,"(793, 655, 840, 703)",1,18,0,0.0,56.50617318324587,59.725525542923215,113.32441601361705
109,109,1894.0,818.1605068637804,1086.7201689545934,"(797, 1058, 841, 1116)",5,84,1,0.165,46.15509489845706,116.9745537607473,100.30944702044914
110,110,2113.0,831.0629436819688,1994.7292948414577,"(804, 1969, 857, 2023)",0,0,0,0.0,134.7216889924995,401.11805580865376,11.57984945941896
111,111,1644.0,845.3369829683699,741.7244525547445,"(818, 722, 875, 762)",0,0,0,0.0,70.01185543536536,81.44438605256751,100.75806603100996
112,112,1305.0,847.8727969348658,273.45900383141765,"(827, 251, 869, 297)",0,0,1,0.18023255813953487,42.2428100642425,72.00353918425893,128.75228084825966
113,113,1875.0,864.0362666666666,642.6165333333333,"(835, 622, 894, 664)",1,4,0,0.0,59.725525542923215,92.23235623144876,138.71108963099914
114,114,1746.0,876.262313860252,392.35681557846505,"(848, 372, 904, 418)",0,0,0,0.0,81.97049364953502,83.94416446458105,160.3135655106089
115,115,2288.0,890.2185314685315,954.9938811188811,"(856, 934, 929, 973)",8,114,0,0.0,116.26356655092397,134.71364431466648,155.72301343031717
116,116,1866.0,889.7974276527331,278.6339764201501,"(865, 252, 919, 302)",1,21,1,0.15196078431372548,42.2428100642425,100.83988884220773,135.57903297544232
117,117,2027.0,948.2496299950666,798.4977799703996,"(918, 778, 973, 825)",5,36,0,0.0,77.60996252233655,81.02093774273004,108.99881084045253
118,118,2320.0,963.5237068965517,2019.3073275862068,"(928, 1998, 999, 2042)",0,0,0,0.0,134.7216889924995,270.4937452757786,162.68230677361294
119,119,1400.0,952.63,357.5057142857143,"(932, 337, 973, 379)",1,16,0,0.0,72.9177146806876,83.94416446458105,126.18022499060201
120,120,1566.0,954.2624521072797,546.7100893997446,"(934, 523, 973, 571)",0,0,0,0.0,103.43153172839179,103.61845691572805,149.01531092343373
121,121,1567.0,955.8806636885769,1180.9521378430122,"(935, 1156, 973, 1206)",1,13,0,0.0,92.20891193458735,102.17228283753289,42.41697756112721
122,122,902.0,955.9467849223947,650.3148558758315,"(940, 632, 973, 669)",0,0,0,0.0,71.22024306385136,92.23235623144876,96.45412976513225
123,123,903.0,958.0177187153931,721.5049833887043,"(941, 705, 973, 738)",0,0,0,0.0,71.22024306385136,77.60996252233655,171.10322929168885
124,124,1563.0,999.8470889315419,916.2795905310301,"(972, 896, 1029, 938)",1,15,0,0.0,84.64069232908021,101.64118415068256,93.34641279387316
125,125,1528.0,1006.0615183246073,457.1839005235602,"(983, 434, 1031, 479)",0,0,1,0.24175824175824176,35.52692913636171,64.80693625574334,14.209016483891707
126,126,1772.0,1012.2262979683973,1301.7454853273139,"(990, 1272, 1033, 1330)",0,0,0,0.0,105.75244853778905,124.27715931016536,99.96383886657011
127,127,1473.0,1020.928038017651,834.306177868296,"(994, 816, 1045, 859)",2,38,0,0.0,81.02093774273004,84.64069232908021,101.80717555431929
128,128,1655.0,1020.0755287009064,424.5377643504532,"(995, 402, 1044, 448)",0,0,2,0.3027027027027027,31.59421088630183,35.52692913636171,149.76854484842738
129,129,257.0,1016.2256809338521,393.17898832684824,"(1009, 384, 1025, 403)",0,0,1,0.18181818181818182,31.59421088630183,64.80693625574334,16.022438667680888
130,130,1279.0,1036.725566849101,1136.6059421422988,"(1014, 1115, 1060, 1155)",1,16,0,0.0,70.93067512228754,72.83243136033583,136.5827172107329
131,131,1664.0,1051.9627403846155,246.87560096153845,"(1028, 219, 1077, 275)",0,0,1,0.2669902912621359,34.41709094600531,72.40393778343294,51.31361744436495
132,132,1421.0,1060.9838142153412,1009.6446164672766,"(1029, 991, 1088, 1027)",4,52,0,0.0,63.71048599315195,66.34401169246942,54.12119811222551
133,133,1515.0,1055.1584158415842,1205.0996699669968,"(1037, 1181, 1074, 1232)",0,0,0,0.0,48.863974608790855,70.93067512228754,83.0238577677575
134,134,1706.0,1071.3159437280187,1072.5117233294256,"(1049, 1045, 1094, 1096)",2,16,0,0.0,59.21249527538856,63.71048599315195,65.20930226895067
135,135,1570.0,1070.5617834394905,275.8343949044586,"(1051, 245, 1088, 304)",0,0,1,0.291005291005291,34.41709094600531,57.547070877333724,100.85703242582547
136,136,1956.0,1090.1073619631902,620.709100204499,"(1063, 599, 1119, 644)",3,35,0,0.0,66.19770504687693,111.0311665335149,15.656001782019375
137,137,1055.0,1104.368720379147,496.68056872037914,"(1080, 481, 1129, 512)",0,0,0,0.0,104.61259638649332,105.94476284574753,170.14575764941944
